"route_id","route_short_name","route_type","route_desc","route_color"
"1060","106","3","Árpád híd M / Római úti lakótelep, Varsa utca","009FE3"
"1085","108E","3","Gazdagréti tér / Újpalota, Nyírpalota út","009FE3"
"1090","109","3","Batthyány tér M+H / Óbuda, Bogdáni út","009FE3"
"1100","110","3","Thomán István utca / Bosnyák tér","009FE3"
"1110","111","3","Batthyány tér M+H / Óbuda, Bogdáni út","009FE3"
"1120","112","3","Thomán István utca / Bosnyák tér","009FE3"
"1130","113","3","Budatétény vasútállomás (Campona) / Diósd, Sashegyi út","009FE3"
"1131","113A","3","Budatétény vasútállomás (Campona) / Angeli utca / Nagytétényi út","009FE3"
"1140","114","3","Móricz Zsigmond körtér M / Baross Gábor-telep, Ispiláng utca","009FE3"
"1150","115","3","Boráros tér H / Árpád híd M","009FE3"
"1160","116","3","Dísz tér / Fény utcai piac","009FE3"
"1170","117","3","Kőbánya alsó vasútállomás / Mélytó utca","009FE3"
"1180","118","3","Szentlélek tér H / Óbudai autóbuszgarázs","009FE3"
"1190","119","3","Gubacsi út / Határ út / Zodony utca","009FE3"
"1200","120","3","Árpád híd M / Újpest-Központ M","009FE3"
"1210","121","3","Újpest-Városkapu M / Rákospalota-Újpest vasútállomás","009FE3"
"1220","122","3","Újpest-Városkapu M / Káposztásmegyer, Mogyoródi-patak","009FE3"
"1230","123","3","Határ út M / Soroksár, IKEA áruház","009FE3"
"1231","123A","3","Határ út M / Szentlőrinci úti lakótelep","009FE3"
"1240","124","3","Bosnyák tér / Rákospalota, Bogáncs utca","009FE3"
"1250","125","3","Bosnyák tér / Rákospalota, MEDIMPEX","009FE3"
"1260","126","3","Káposztásmegyer, Szilas-patak / Dunakeszi, Auchan áruház","009FE3"
"1261","126A","3","Káposztásmegyer, Szilas-patak / Káposztásmegyer, Mogyoródi-patak","009FE3"
"1280","128","3","Széll Kálmán tér M / Városkúti út","009FE3"
"1290","129","3","Széll Kálmán tér M / Széher út","009FE3"
"1300","130","3","Puskás Ferenc Stadion M / Újpalota, Sárfű utca","009FE3"
"1310","131","3","Örs vezér tere M+H / Kisszentmihály, Baross utca","009FE3"
